X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Latitude,Longitude
951015.153714213,144073.002956044,176,0.151995190703,0.000657782126267,Oakwood,176,Staten Island,34.239428,-83.897612
1008907.12272902,185974.205693729,177,0.0715805407056,0.000198894762248,Ocean Hill,177,Brooklyn,43.52424,-71.70091
992387.480723467,164298.167117812,178,0.0682528770739,0.000175805409143,Ocean Parkway South,178,Brooklyn,37.329217,-86.364699
1004521.78569623,220336.309601452,179,0.0713808644377,0.000183893478476,Old Astoria,179,Queens,46.142206,-123.795996
1026033.91615522,185292.732245204,180,0.0805277671523,0.000247682193353,Ozone Park,180,Queens,40.684546,-73.850708
990062.886972789,184111.792889303,181,0.0895372399547,0.000306890292807,Park Slope,181,Brooklyn,40.670103,-73.985972
1023558.86277877,244398.19624291,182,0.0393606369479,9.10644156732E-05,Parkchester,182,Bronx,40.838989,-73.860413
1030769.01782003,248842.877043261,183,0.0398262960348,9.51929451066E-05,Pelham Bay,183,Bronx,35.7423,-90.56233
1038293.70889091,254402.557541147,184,0.260815683043,0.00198883363103,Pelham Bay Park,184,Bronx,39.11251,-100.35875
1024313.23016366,250253.362624693,185,0.0861619681636,0.000228537100218,Pelham Parkway,185,Bronx,38.338107,-90.969862
986340.47181179,211966.866225201,186,0.0246963902234,3.70729416953E-05,Penn Station/Madison Sq West,186,Manhattan,31.759903,-97.102936
945067.375896379,167177.603469449,187,0.126868431324,0.000421195755741,Port Richmond,187,Staten Island,37.551811,-76.810795
999454.617588809,178848.00439329,188,0.0977983968367,0.000313003032771,Prospect-Lefferts Gardens,188,Brooklyn,40.90451,-80.04645
993051.233732136,185993.846228448,189,0.0486743306502,0.000101427594033,Prospect Heights,189,Brooklyn,42.105805,-87.939519
992309.746926107,179954.875910484,190,0.0743294660829,0.000270873666522,Prospect Park,190,Brooklyn,40.937043,-74.174311
1056016.86586106,199613.402120481,191,0.130932637664,0.000688460603185,Queens Village,191,Queens,40.605382,-73.755133
1035459.39249129,210539.65344875,192,0.11196461971,0.000373808019026,Queensboro Hill,192,Queens,43.52424,-71.70091
1000792.13215186,216799.116340263,193,0.0655299584801,0.000145591657944,Queensbridge/Ravenswood,193,Queens,37.476327,-122.135242
1006117.1007714,227627.151098425,194,0.0817938353532,0.000273481702719,Randalls Island,194,Manhattan,37.459336,-87.206541
981601.183925588,185365.458800279,195,0.131308244067,0.000801651953985,Red Hook,195,Brooklyn,42.002775,-73.809608
1021943.97056306,202950.229446208,196,0.0832421106332,0.0001974713336,Rego Park,196,Queens,40.722861,-73.862069
1031657.8908672,191801.465770072,197,0.108568532229,0.000504689160432,Richmond Hill,197,Queens,37.524246,-77.493157
1011423.40504958,195967.869765236,198,0.134094242763,0.000499809882564,Ridgewood,198,Queens,40.982247,-74.11207
1016498.52721191,227862.063599457,199,0.0778085005169,0.000288747549303,Rikers Island,199,Bronx,37.459336,-87.206541
1010108.91981314,267135.029941383,200,0.112661735435,0.000744643168558,Riverdale/North Riverdale/Fieldston,200,Bronx,42.107325,-70.663926
1026683.44793046,149700.864104379,201,0.130404117686,0.000619350747819,Rockaway Park,201,Queens,40.57661,-73.84276
997987.60427565,216594.609210173,202,0.0699215712618,0.000106175396322,Roosevelt Island,202,Manhattan,37.459336,-87.206541
1057297.06309929,179660.443812761,203,0.189937815868,0.000615129861659,Rosedale,203,Queens,35.468183,-118.779649
926723.329977248,136351.644103454,204,0.101912418311,0.000641384265972,Rossville/Woodrow,204,Staten Island,39.804985,-103.57521
1050079.72906652,191559.678172058,205,0.141953388327,0.000766216513505,Saint Albans,205,Queens,40.695829,-73.761747
950066.257840675,170997.56566255,206,0.212756793386,0.000944392507762,Saint George/New Brighton,206,Staten Island,40.73034,-80.31006
1012138.64305963,217460.539444351,207,0.0283756831492,4.47230848441E-05,Saint Michaels Cemetery/Woodside,207,Queens,39.07239,-75.571073
1032714.81511342,239781.048803937,208,0.214721009581,0.00202032598969,Schuylerville/Edgewater Park,208,Bronx,32.712647,-79.947881
983595.776971964,197398.396503623,209,0.0306953113473,3.88703351209E-05,Seaport,209,Manhattan,40.707226,-74.002743
999709.141942766,155604.686920427,210,0.114851983372,0.000453155131253,Sheepshead Bay,210,Brooklyn,35.7423,-90.56233
983868.950387133,203012.498007338,211,0.0252345082132,3.97291966087E-05,SoHo,211,Manhattan,40.723301,-74.002988
1020254.27520988,241067.619670689,212,0.0671290653429,0.000161276191858,Soundview/Bruckner,212,Bronx,41.288987,-72.287581
1022782.51267811,236777.352203266,213,0.159958783822,0.000904077906339,Soundview/Castle Hill,213,Bronx,35.47452,-96.38223
960395.113995833,153009.260580351,214,0.135300314246,0.000811976523012,South Beach/Dongan Hills,214,Staten Island,41.555704,-91.530842
1042382.07258808,192258.252868962,215,0.103556453625,0.000395647022725,South Jamaica,215,Queens,41.820851,-94.319081
1034035.31067045,186002.724214367,216,0.116797554681,0.000816076647781,South Ozone Park,216,Queens,40.674432,-73.819013
996215.25719788,195492.216141876,217,0.0553905251285,0.000114733270758,South Williamsburg,217,Brooklyn,28.414451,-81.442849
1047462.71808646,184776.57034358,218,0.0837008281049,0.000281293736407,Springfield Gardens North,218,Queens,33.61571,-81.10204
